MONTH,MONTH_NAME,TOTAL_FLIGHTS_SCHEDULED,TOTAL_FLIGHTS_CANCELLED,TOTAL_FLIGHTS_OPERATED,OPERATION_%,CANCELLATION_%
1,January,469968,11982,457986,97.45046471249105,2.5495352875089368
2,February,429191,20517,408674,95.21961084924894,4.780389150751064
3,March,504312,11002,493310,97.81841399768398,2.1815860023160263
4,April,485151,4520,480631,99.06833130303761,0.9316686969623891
5,May,496993,5694,491299,98.85430981925299,1.1456901807470126
6,June,503897,9120,494777,98.19010631140887,1.8098936885911208
7,July,520718,4806,515912,99.07704362053933,0.9229563794606677
8,August,510536,5052,505484,99.01045176050268,0.9895482394973126
9,September,464946,2075,462871,99.55371161382182,0.44628838617817984
11,November,467972,4599,463373,99.01724889523305,0.9827511047669518
12,December,479230,8063,471167,98.31750933789621,1.6824906621037916
