MONTH,MONTH_NAME,TOTAL_FLIGHTS_SCHEDULED,TOTAL_FLIGHTS_OPERATED,TOTAL_FLIGHTS_CANCELLED,OPERATION_%,CANCELLATION_%
1,January,469968,457986,11982,97.45046471,2.549535288
2,February,429191,408674,20517,95.21961085,4.780389151
3,March,504312,493310,11002,97.818414,2.181586002
4,April,485151,480631,4520,99.0683313,0.931668697
5,May,496993,491299,5694,98.85430982,1.145690181
6,June,503897,494777,9120,98.19010631,1.809893689
7,July,520718,515912,4806,99.07704362,0.922956379
8,August,510536,505484,5052,99.01045176,0.989548239
9,September,464946,462871,2075,99.55371161,0.446288386
10,October,486165,483711,2454,99.4952331,0.5047669
11,November,467972,463373,4599,99.0172489,0.982751105
12,December,479230,471167,8063,98.31750934,1.682490662
