Alaska Airlines Inc.,American Airlines Inc.,American Eagle Airlines Inc.,Atlantic Southeast Airlines,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,JetBlue Airways,Skywest Airlines Inc.,Southwest Airlines Co.,Spirit Air Lines,US Airways Inc.,United Air Lines Inc.,Virgin America
13257.0,44059.0,29900.0,49925.0,64421.0,6829.0,6440.0,21623.0,48114.0,100042.0,8743.0,33489.0,38395.0,4731.0
12194.0,39835.0,26940.0,45138.0,60884.0,5809.0,5779.0,19751.0,43989.0,90172.0,8089.0,30153.0,36235.0,4223.0
14276.0,45966.0,28146.0,54190.0,74166.0,6950.0,6313.0,22590.0,50078.0,109245.0,9400.0,34516.0,43603.0,4873.0
13974.0,44770.0,25695.0,49296.0,72170.0,7148.0,6093.0,22020.0,49329.0,106407.0,9496.0,32496.0,41342.0,4915.0
14682.0,44710.0,25431.0,49213.0,74815.0,8118.0,6434.0,22565.0,49864.0,107702.0,10051.0,33761.0,44411.0,5236.0
15075.0,44360.0,25407.0,49119.0,77255.0,7893.0,6677.0,22558.0,50307.0,109776.0,9826.0,34300.0,46084.0,5260.0
15821.0,81434.0,24750.0,50381.0,80741.0,8090.0,6955.0,24029.0,52627.0,113650.0,10351.0,,46478.0,5411.0
16095.0,79748.0,23881.0,48554.0,80947.0,8142.0,6901.0,23826.0,52730.0,108179.0,10432.0,,45413.0,5688.0
14271.0,73379.0,21202.0,43721.0,72063.0,7873.0,6154.0,21133.0,47625.0,100645.0,9948.0,,41778.0,5154.0
14467.0,77290.0,21982.0,45728.0,75552.0,8101.0,6242.0,21913.0,48808.0,104516.0,10208.0,,45894.0,5464.0
13950.0,73871.0,20305.0,42572.0,72228.0,7763.0,6024.0,21697.0,47292.0,104045.0,10164.0,,42647.0,5414.0
14459.0,76562.0,20993.0,44140.0,70639.0,8120.0,6260.0,23343.0,47590.0,107476.0,10671.0,,43443.0,5534.0
